Date,Close,High,Low,Open,Volume,ticker,titles
2020-01-02,72.62084197998047,72.68128882574726,71.37321819790198,71.62709199861638,135480400,AAPL,Apple announces product
2020-01-03,71.91481018066406,72.67643886208242,71.6899497146884,71.84711001739942,146322800,AAPL,Market reacts
2020-01-06,72.48786163330078,72.52654850385467,70.78326336625187,71.03472433546915,118387200,AAPL,Market reacts
2020-01-07,72.14693450927734,72.75381577050801,71.9269071243437,72.49752175701711,108872000,AAPL,Market reacts
2020-01-08,73.3075180053711,73.60975223726805,71.84954036585081,71.84954036585081,132079200,AAPL,Analyst upgrade
2020-01-09,74.86461639404297,75.05804331745496,74.03528757623693,74.28674110091968,170108400,AAPL,Apple announces product
2020-01-10,75.03385925292969,75.59964810131231,74.53094485063419,75.0991465547697,140644800,AAPL,Analyst upgrade
2020-01-13,76.63693237304688,76.66353282405201,75.23214816687168,75.35062901064134,121532000,AAPL,Market reacts
2020-01-14,75.60206604003906,76.78440971103713,75.4787595103825,76.57405589932931,161954400,AAPL,Apple announces product
2020-01-15,75.27806854248047,76.28390474886808,74.84526714361999,75.40138244543428,121923600,AAPL,Market reacts
2020-01-16,76.22106170654297,76.33228922922538,75.45943283140988,75.82211395087957,108829200,AAPL,Market reacts
2020-01-17,77.06489562988281,77.06730848616459,76.16302603037396,76.47009335198214,137816400,AAPL,Analyst upgrade
2020-01-21,76.54261779785156,77.13499233659138,76.40479724710379,76.69252476374683,110843200,AAPL,Apple announces product
2020-01-22,76.81584167480469,77.36952937649916,76.72154106940934,77.02860833807343,101832400,AAPL,Apple announces product
2020-01-23,77.18577575683594,77.26556233295065,76.32017294133449,76.86903492947071,104472000,AAPL,Analyst upgrade
2020-01-24,76.96334075927734,78.17711075717362,76.77232666197627,77.43240886934917,146537600,AAPL,Apple announces product
2020-01-27,74.70021057128906,75.38204534370864,73.71613420898714,74.96859100895418,161940000,AAPL,Apple announces product
2020-01-28,76.81343078613281,76.98509775416542,75.48360024038988,75.58273394834251,162234000,AAPL,Apple announces product
2020-01-29,78.42131805419922,79.2699941203994,77.70562947444549,78.44791850299463,216229200,AAPL,Apple announces product
2020-01-30,78.30767059326172,78.36086410726632,77.06972049871605,77.50252193635508,126743200,AAPL,Market reacts
2020-01-31,74.83560180664062,78.01993693561123,74.54062095731271,77.59680909150437,199588400,AAPL,Apple announces product
2020-02-03,74.63008880615234,75.79791852993898,73.07297758859362,73.57589206005755,173788400,AAPL,Analyst upgrade
2020-02-04,77.09391784667969,77.28493196834982,75.83178725999309,76.23798834153754,136616400,AAPL,Market reacts
2020-02-05,77.72256469726562,78.5228804217208,77.11809618158854,78.22305902038404,118826800,AAPL,Analyst upgrade
2020-02-06,78.63167572021484,78.63409595534088,77.43483255655748,77.99336084201738,105425600,AAPL,Analyst upgrade
2020-02-07,77.5628433227539,78.37959926522765,77.07085045375861,78.12996756118129,117684000,AAPL,Market reacts
2020-02-10,77.9312515258789,77.9312515258789,76.06507446922856,76.1450504217699,109348800,AAPL,Apple announces product
2020-02-11,77.46104431152344,78.50077572551376,77.24292075377855,78.42807033835727,94323200,AAPL,Market reacts
2020-02-12,79.30058288574219,79.30542744679461,77.91185062961374,77.91185062961374,113730400,AAPL,Analyst upgrade
2020-02-13,78.73587036132812,79.06305941279798,78.36748405379012,78.57106654450395,94747600,AAPL,Analyst upgrade
2020-02-14,78.75526428222656,79.0048959887249,78.24630435157947,78.70436311176876,80113600,AAPL,Analyst upgrade
2020-02-18,77.3132095336914,77.49498040250103,76.24924049804682,76.43101136685644,152531200,AAPL,Apple announces product
2020-02-19,78.43293762207031,78.6631837418977,77.55559118024817,77.55559118024817,93984000,AAPL,Analyst upgrade
2020-02-20,77.6282958984375,78.68256868592816,77.12176183559734,78.19300168361448,100566000,AAPL,Analyst upgrade
2020-02-21,75.87116241455078,77.66464101568167,75.25314438056381,77.22111592621015,129554000,AAPL,Analyst upgrade
2020-02-24,72.26725006103516,73.72141704412205,70.09812208236266,72.04428193220959,222195200,AAPL,Apple announces product
2020-02-25,69.81941223144531,73.3215345796045,69.34681232251152,72.93860713253768,230673600,AAPL,Market reacts
2020-02-26,70.92699432373047,72.1945458948115,69.43647462004233,69.44374515923005,198054800,AAPL,Market reacts
2020-02-27,66.29063415527344,69.31530465753468,66.15491247212168,68.12773623181833,320605600,AAPL,Apple announces product
2020-02-28,66.2518539428711,67.4757824380709,62.134139530313654,62.34984454807426,426510000,AAPL,Analyst upgrade
2020-03-02,72.4199447631836,73.0573558601896,67.30854828272852,68.41371468951469,341397200,AAPL,Analyst upgrade
2020-03-03,70.11994171142578,73.6778022281249,69.26682558358837,73.59782628927844,319475600,AAPL,Market reacts
2020-03-04,73.37242889404297,73.53238817702517,71.04334126232827,71.84555625982283,219178400,AAPL,Analyst upgrade
2020-03-05,70.99244689941406,72.59929546384136,70.62647911575432,71.62258011074542,187572800,AAPL,Market reacts
2020-03-06,70.04967498779297,70.48350371604513,68.1592601100507,68.34587561840515,226176800,AAPL,Market reacts
2020-03-09,64.50928497314453,67.3982263851532,63.740996701505956,63.92276760464713,286744800,AAPL,Apple announces product
